Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths/Sync,2.4534158595208218,2.43642627141666,2.474691866124971,2.3654331257781363e-2,7.014386375004733e-3,3.1136257337817285e-2
findLargestPaths/Async,3.0097143430624627,2.972372419937493,3.0473969317499154,4.49335935401527e-2,2.1536624999953347e-2,6.215585840753306e-2
findLargestPaths/AsyncPool,1.1233237137083403,1.112119727750013,1.1387647328333326,1.4674028438485394e-2,3.4966124999868953e-4,1.803163011356485e-2
takeLargest10/Sync,2.460264953749989,2.442447028499989,2.4949567422499874,3.4208003119731864e-2,1.8881240000041544e-3,4.114873575795285e-2
takeLargest10/Async,3.0433176913749924,3.002357163249978,3.115958169250014,7.061183611811568e-2,1.0442246249984466e-2,8.990683259378657e-2
takeLargest10/AsyncPool,1.1370747218958595,1.1061778786667182,1.1920940354374991,5.315937880793348e-2,1.6634077096140676e-3,6.43625348225953e-2
displayPathSize/Sync,3.534094027041656,3.5199790643333033,3.5588317798750353,2.380263541014389e-2,1.1047789851416356e-4,2.8619935464252774e-2
displayPathSize/Async,4.078875004770843,4.02545755875002,4.117198357625014,5.364942463452006e-2,2.3553586624998957e-2,7.062209990153237e-2
displayPathSize/AsyncPool,2.2050091000624974,2.1754756348124573,2.2301710771875065,3.006967087936278e-2,1.5550529447827956e-2,4.2104571171573756e-2
