Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths/Sync,2.4626331504583283,2.421495522166661,2.517539093125002,5.256607326417419e-2,2.7170095186006514e-2,6.419851235355419e-2
findLargestPaths/Async,3.0047621861458182,2.9738714016874965,3.0291163362499844,3.296644716674642e-2,2.6052774228708366e-2,3.963629383731734e-2
findLargestPaths/AsyncPool,1.1153430718333155,1.1128692583750137,1.117546141874925,2.598456140840846e-3,1.380437661654304e-3,3.600266596856453e-3
exclude/Sync,1.453590382562498,1.4468198776249845,1.4620754457500122,8.651995031294513e-3,2.991532210522072e-3,1.1743741818167229e-2
exclude/Async,1.6152066901041569,1.5698580885624907,1.7100271289999682,6.779196282212804e-2,6.363011375000838e-3,8.643716272394929e-2
exclude/AsyncPool,0.6814282595000046,0.6783730092500377,0.685446877749996,4.386236303888321e-3,1.2241407499876122e-3,5.642282233977608e-3
takeLargest10/Sync,2.442375945020847,2.4279790916875044,2.464813692333356,2.3394582658943147e-2,4.210618708318181e-3,2.997595669430116e-2
takeLargest10/Async,2.968213780041642,2.8233724151665647,3.061678060916696,0.1393449372523944,6.486849387466458e-2,0.1834477716309944
takeLargest10/AsyncPool,1.109013541937486,1.0945264513750317,1.1311844182499158,2.0987299267484622e-2,2.526197690557244e-3,2.6863821659581056e-2
displayPathSize/Sync,3.647087551270843,3.6223697707916642,3.6819828053750427,3.303850870151125e-2,1.0263355416384456e-3,4.088612380224388e-2
displayPathSize/Async,4.205919059041662,4.111016597374999,4.3032201451666765,0.1078159592977598,6.2440550140312814e-2,0.15195271053823656
displayPathSize/AsyncPool,2.323194989583328,2.2993379309166357,2.3623579571250843,3.720075431543809e-2,7.679410023754343e-4,4.560547020618274e-2
