Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths All/flat/100 - Sync,8.605314615800865e-4,8.602823968204454e-4,8.609376290574812e-4,1.0647454995986328e-6,6.967929649850051e-7,1.4541895783585902e-6
findLargestPaths All/flat/100 - Async,7.86567094996546e-4,7.704659504889361e-4,8.124211765145184e-4,6.535446328614003e-5,3.6401241996019746e-5,9.98016032681686e-5
findLargestPaths All/flat/100 - AsyncPool,6.542999678776027e-4,6.44263428651309e-4,6.833477327234762e-4,5.5041233343581975e-5,2.4998095334230016e-5,1.0560510914427573e-4
findLargestPaths All/flat/1_000 - Sync,1.004246675683402e-2,9.992270525844343e-3,1.0151110993432853e-2,1.834517598551247e-4,9.748798582572618e-5,3.368719478459619e-4
findLargestPaths All/flat/1_000 - Async,7.838426648780608e-3,7.76973357690073e-3,7.9318758478204e-3,2.4104312020375003e-4,1.839669069041034e-4,3.3834438066410584e-4
findLargestPaths All/flat/1_000 - AsyncPool,6.779360100557395e-3,6.6467978907495465e-3,7.112211937948207e-3,5.922496043217038e-4,2.243322238077727e-4,1.0574970245328568e-3
findLargestPaths All/flat/10_000 - Sync,0.13174938121979307,0.13117486682812465,0.13268683064063858,1.0901865927812034e-3,4.586565999107192e-4,1.7083011824157775e-3
findLargestPaths All/flat/10_000 - Async,0.15646498965577169,0.15309679193197773,0.16062544094758366,5.476103060570485e-3,3.550715101987125e-3,8.187043964007618e-3
findLargestPaths All/flat/10_000 - AsyncPool,8.918882435905398e-2,8.73831414190667e-2,9.105177516572309e-2,3.3235080147929474e-3,2.659053049128094e-3,3.895005897485764e-3
findLargestPaths All/sparse/d=6 - Sync,9.402919243836234e-2,9.376461438413404e-2,9.435223415925807e-2,4.511506429614903e-4,3.084033068923061e-4,6.293746720205807e-4
findLargestPaths All/sparse/d=6 - Async,0.10157628634426039,0.10104608577900642,0.10236465550475488,1.0336954449632837e-3,8.145828398122669e-4,1.2539349567683995e-3
findLargestPaths All/sparse/d=6 - AsyncPool,6.843765363219202e-2,6.796440443702818e-2,6.896311241993676e-2,9.010286096957871e-4,5.927142850008625e-4,1.2120776697810798e-3
