Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths/Sync,2.44242083102084,2.417656769520832,2.47404809412501,3.0197061039785054e-2,1.008048908335013e-2,3.9530079863018666e-2
findLargestPaths/Async,3.0977893290833336,3.058053734958328,3.1623828850833604,6.288684016672647e-2,9.91842149998945e-3,8.031261721201637e-2
findLargestPaths/AsyncPool,1.1100308106250008,1.0855500087499954,1.134511612500006,2.9189257761869723e-2,2.315252228084061e-2,3.384736622266575e-2
takeLargest10/Sync,2.445868363645831,2.4348337073958413,2.4547974592499884,1.1350155508614864e-2,4.862584022666557e-3,1.50545865260122e-2
takeLargest10/Async,3.1140531423124806,3.032351202812478,3.156718075812482,7.938662264001403e-2,7.2558550000014765e-3,9.853044336473378e-2
takeLargest10/AsyncPool,1.109154223208338,1.0899921353333564,1.1211184578750135,1.9932052614598718e-2,1.0887205647132818e-2,2.759012281345614e-2
displayPathSize/Sync,4.003154888437497,3.9862489835000003,4.024773220187498,2.199268976608954e-2,9.424853625006335e-3,2.9619969446514006e-2
displayPathSize/Async,4.7213421512500275,4.663066557625058,4.754078528750014,5.653450272230672e-2,2.135965402299734e-2,7.560142544764212e-2
displayPathSize/AsyncPool,2.6687235953958037,2.649707240437479,2.680791442749978,1.844433411031465e-2,8.239360110550502e-3,2.428625105343967e-2
