Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths/Sync,4.697269627708351,4.661134691833382,4.716859263333333,3.444026069496812e-2,9.875210833342862e-3,4.5240325605639786e-2
findLargestPaths/Async,6.910778725895812,6.769671454437507,7.020767683999935,0.15607323545638405,5.2580429833293696e-2,0.19329396764049062
findLargestPaths/AsyncPool,3.085097762250006,3.0598046482499988,3.1264354545000024,4.040351302395042e-2,6.165690500012033e-3,5.1292418566348516e-2
takeLargest10/Sync,4.541459399791672,4.5290185971250025,4.555943428625028,1.4941106293672185e-2,6.1197549166913685e-3,2.0726744952566507e-2
takeLargest10/Async,6.783258850666717,6.682787345000122,6.836213344833348,9.527428968493563e-2,3.3096559000000525e-2,0.12229316584762182
takeLargest10/AsyncPool,3.0038231156249586,2.9639689254999886,3.064817275749917,6.480531006104781e-2,7.409452500535263e-4,8.144854203089835e-2
displayPathSize/Sync,7.620291609458367,7.6152654866251055,7.625223654666664,5.7832635503191725e-3,4.957946534430768e-3,6.506912470802167e-3
displayPathSize/Async,9.817446801333341,9.636770461833274,9.948336598458392,0.18198223045258397,0.12548848787299305,0.2398437238011777
displayPathSize/AsyncPool,6.0186329973333415,5.980383946958327,6.047799802125041,3.704668406833664e-2,1.9700122931835876e-2,4.480341145935298e-2
