Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths/Sync,2.4869155523333384,2.4595774977500042,2.5065368109999895,2.7962471557214454e-2,9.531600833336595e-3,3.6149296194452014e-2
findLargestPaths/Async,3.124088061541665,3.044056308999984,3.1549089592916695,5.463895687415893e-2,1.6457703324145659e-3,7.11778144505239e-2
findLargestPaths/AsyncPool,1.1480899052500035,1.1363613510000334,1.1562925464999694,1.2775329467291364e-2,7.051826000008532e-3,1.803439186854655e-2
takeLargest10/Sync,2.461786799062537,2.4475584611875263,2.4841838158750704,2.1724023716461437e-2,1.5517822500328293e-3,2.8194211184025503e-2
takeLargest10/Async,3.2980930162708404,3.234269600833329,3.36865408502085,7.343275384791934e-2,3.805717475000847e-2,0.1034492241607657
takeLargest10/AsyncPool,1.1415040188541685,1.1210954690000108,1.1755270807291585,3.252418699665966e-2,4.04912256004656e-3,4.131100914438475e-2
displayPathSize/Sync,3.561041281416692,3.5439022088333445,3.579466984250047,2.4811169680837762e-2,5.427517075270085e-3,3.415347560335493e-2
displayPathSize/Async,4.347179677229131,4.277417910333346,4.42520732849988,9.457789865371082e-2,7.938264333309686e-3,0.11987922588208196
displayPathSize/AsyncPool,2.2466776562916757,2.205711426249991,2.3057601641666943,5.618362972663901e-2,2.1707307315945473e-2,7.290014845305837e-2
