Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths All/flat/100 - Sync,1.041333018239352e-3,1.0365261119468225e-3,1.0559786113501365e-3,2.3159558793816025e-5,1.2938732390889941e-5,4.5966130584288486e-5
findLargestPaths All/flat/100 - Async,9.437538743729826e-4,9.39016117194509e-4,9.546113824134654e-4,2.3513460992105068e-5,1.3145751755148127e-5,4.250163857319819e-5
findLargestPaths All/flat/100 - AsyncPooled,7.925563304066142e-4,7.882894446362988e-4,8.00067729563624e-4,1.70460717140443e-5,1.0282122900145345e-5,2.5844464660295794e-5
findLargestPaths All/flat/1_000 - Sync,1.3030590770936096e-2,1.3009867601677008e-2,1.3063078608605273e-2,6.486001291815523e-5,3.96929267976159e-5,1.1050712950902285e-4
findLargestPaths All/flat/1_000 - Async,1.144167116588936e-2,1.1300715446889136e-2,1.1628434287345512e-2,4.344977570990988e-4,3.3543131218573757e-4,6.099755366306179e-4
findLargestPaths All/flat/1_000 - AsyncPooled,1.0642638234629232e-2,1.0464776582727512e-2,1.0941754754966036e-2,6.072574036221049e-4,4.1738622441878553e-4,9.826923893306342e-4
findLargestPaths All/flat/10_000 - Sync,0.19244435224722292,0.1895879283972126,0.19690404622224378,4.614269515279554e-3,3.241113477536411e-3,5.843106170276413e-3
findLargestPaths All/flat/10_000 - Async,0.205638550630562,0.20125070252223118,0.21196443098612228,7.379256846020558e-3,3.8830350931989967e-3,1.0698108120780522e-2
findLargestPaths All/flat/10_000 - AsyncPooled,0.16171807860306625,0.16015831100204886,0.16432869516327916,2.794834850494916e-3,1.8678343307890351e-3,3.5092047989449724e-3
findLargestPaths All/sparse/d=6 - Sync,0.11022208936120308,0.1099253950908295,0.11058330403334166,5.160662909861636e-4,3.8228664017140267e-4,7.240193053942414e-4
findLargestPaths All/sparse/d=6 - Async,0.11049385109700155,0.10879451899823758,0.11512177517106899,4.517963354488335e-3,1.3902582102379556e-3,7.345800316644942e-3
findLargestPaths All/sparse/d=6 - AsyncPooled,8.524315478912864e-2,8.418260990912728e-2,8.63577433707863e-2,1.8995191509555867e-3,1.1661360775990371e-3,2.807125276265148e-3
findLargestPaths All/sparse/d=8 - Sync,0.5077037599999888,0.5052149213750473,0.509149873124945,2.447910374946229e-3,8.922937658049509e-4,3.3396552078882847e-3
findLargestPaths All/sparse/d=8 - Async,0.6321087491458192,0.6148388667916531_0.6608837337499835,2.7634019582959926e-2,3.557328333348153e-3,3.577543596249492e-2
findLargestPaths All/sparse/d=8 - AsyncPooled,0.41551170479166427,0.4040641553750106,0.43505036074996895,1.861427106057363e-2,5.957637975730866e-4,2.2859178453047937e-2
