Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths/Sync,2.4801041010208373,2.4486577385833024,2.506243943166699,3.772527614273058e-2,2.0486845768249076e-2,5.267155651638147e-2
findLargestPaths/Async,3.4123500451458235,3.360224127666659,3.4691932835208186,6.810184403721635e-2,2.6683878833334118e-2,8.956776069850926e-2
findLargestPaths/AsyncPool,1.2067255452499903,1.1872766325000157,1.2401138759999668,3.321504857223035e-2,1.0937065222815037e-2,4.487984917085386e-2
takeLargest10/Sync,2.4733457131666725,2.4474932844999984,2.510804157375013,3.9170112448038315e-2,7.6827851172330056e-3,5.202084148240665e-2
takeLargest10/Async,3.443603056833337,3.352524097000014,3.4816087620833307,6.545934744169114e-2,1.5945433999988268e-2,8.777041662730146e-2
takeLargest10/AsyncPool,1.206587932437472,1.1531697980000217,1.28413700593741,7.330917987177085e-2,5.79088093499569e-3,9.24413973886884e-2
displayPathSize/Sync,3.604725216666703,3.5735402886250114,3.6587431908750716,5.146493036607924e-2,2.932766258621454e-3,6.384096702987037e-2
displayPathSize/Async,4.636003215312546,4.509182976000147,4.678767521875007,8.471375916247659e-2,1.9276736776087794e-3,0.1006876092997864
displayPathSize/AsyncPool,2.3380886382916564,2.292997171749988,2.418320061416656,7.779263581816896e-2,6.599034864751552e-3,9.75352465191967e-2
