Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths/Sync,2.435755114937514,2.4193343508749905,2.4625912450000556,2.66796759174829e-2,1.0160432498592824e-2,3.66003367066647e-2
findLargestPaths/Async,3.3714099676041775,3.324751830125024,3.4271724201875102,5.667742166492081e-2,2.5035881583316266e-2,7.88434069908491e-2
findLargestPaths/AsyncPool,1.1356343521874994,1.1142579219999882,1.1688591741875172,3.3239742845124036e-2,1.3486277000017366e-2,4.615102550730112e-2
takeLargest10/Sync,2.436304121187497,2.4254643213749745,2.4462944195000205,1.2780468408389336e-2,9.871541490408859e-3,1.5038359663730457e-2
takeLargest10/Async,3.4304707477291836,3.372049073416657,3.5161311333125553,8.898633677128077e-2,1.6806824770635234e-2,0.1165166963452687
takeLargest10/AsyncPool,1.1188323426041744,1.0846001323750443,1.1469562118124799,3.5733038527666926e-2,2.7822327278740403e-2,4.202242476483583e-2
displayPathSize/Sync,3.5401253736458074,3.5141171535416618,3.572906116437437,3.635690966838724e-2,1.2502021104329901e-2,4.7561390408756114e-2
displayPathSize/Async,4.466565935208284,4.367306404125017,4.5179920369166044,9.49635419741394e-2,8.296921355133144e-3,0.11876349465868744
displayPathSize/AsyncPool,2.207996838416667,2.1926503475832915,2.223343329250042,1.782603220570236e-2,1.4751305074355632e-2,1.94510601841949e-2
