Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths All/flat/100 - Sync,9.695122625838424e-4,9.604653511675672e-4,9.79484475215546e-4,3.266112687354315e-5,2.7551265571653428e-5,3.8507619456724166e-5
findLargestPaths All/flat/100 - Async,9.615053565750838e-4,9.498907982663004e-4,9.757020699223003e-4,4.556593444720731e-5,3.523403658202754e-5,6.660650422240266e-5
findLargestPaths All/flat/100 - AsyncPooled,7.702205854897002e-4,7.623411730898988e-4,7.799183684968567e-4,3.0535821307012944e-5,2.5997940830634213e-5,3.551892768064506e-5
findLargestPaths All/flat/1_000 - Sync,1.2275705167765043e-2,1.2129041995735262e-2,1.2437999580161913e-2,4.400816622540802e-4,3.1931762881322095e-4,5.957422744180633e-4
findLargestPaths All/flat/1_000 - Async,1.1636382845128496e-2,1.1442662564763145e-2,1.1847804158269509e-2,5.64705341732797e-4,4.593686610453222e-4,7.191309159551561e-4
findLargestPaths All/flat/1_000 - AsyncPooled,1.0557770655011999e-2,1.0321615424111936e-2,1.104438430613894e-2,8.186310697969752e-4,4.1349532170308696e-4,1.4627931853951935e-3
findLargestPaths All/flat/10_000 - Sync,0.20252746786389333,0.20043944547222423,0.20580522371112944,3.5499356053681937e-3,1.983398108215229e-3,4.834405715264548e-3
findLargestPaths All/flat/10_000 - Async,0.2322132740444576,0.22517680894445233,0.23614704235003756,6.9866260435819845e-3,3.4171777183189763e-3,9.875807389534603e-3
findLargestPaths All/flat/10_000 - AsyncPooled,0.18648606730832598,0.18305682744443175,0.18963566720832623,4.5427067815964044e-3,2.7138154382449126e-3,6.305738965706276e-3
findLargestPaths All/sparse/d=6 - Sync,0.11692871646546706,0.11531397136248837,0.11971079496428112,3.2511259044630744e-3,1.2933784366386072e-3,5.134216320038082e-3
findLargestPaths All/sparse/d=6 - Async,0.12088779324196029,0.11773983722321393,0.12342485781100435,4.147655088096657e-3,2.9177894111101998e-3,5.572809005918813e-3
findLargestPaths All/sparse/d=6 - AsyncPooled,9.403773839903487e-2,9.074971319842283e-2,9.762648007186521e-2,5.949961195754955e-3,4.594779672523441e-3,7.948304830418739e-3
findLargestPaths All/sparse/d=8 - Sync,0.575627528270843,0.5615425153749811,0.5950336598125432,2.0738481284753883e-2,3.5815783941730572e-3,2.6975354473384484e-2
findLargestPaths All/sparse/d=8 - Async,0.7322968922500527,0.7215624609999907,0.7517866550001315,1.934854243022685e-2,2.3655639999731193e-3,2.417710139747425e-2
findLargestPaths All/sparse/d=8 - AsyncPooled,0.48862868841663004,0.4752451367499759,0.5008396287499863,1.6323263843728977e-2,7.38645698895421e-3,2.2739862380398962e-2
findLargestPaths All/sparse/d=10 - Sync,2.4571198970833543,2.4257632835000322,2.481761537500006,3.239834383842495e-2,1.3429946333341602e-2,4.3946893089982446e-2
findLargestPaths All/sparse/d=10 - Async,3.6288664963125066,3.4754820435624936,3.777630093500022,0.17967719020110412,0.11220837887503876,0.2139877360296463
findLargestPaths All/sparse/d=10 - AsyncPooled,2.230222321041637,2.18902642674999,2.2807578169999374,5.070367917585403e-2,2.386895769407128e-2,7.061485713859421e-2
findLargestPaths All/dense/d=6 - Sync,0.21549409924999863,0.2139256345555408,0.2168131853611069,1.8384033949864968e-3,1.1794827560707973e-3,2.767367653663795e-3
findLargestPaths All/dense/d=6 - Async,0.22958672780836006,0.22511221573890527,0.23895970843061795,8.745731937564137e-3,1.5723401073895506e-3,1.2578765335907446e-2
findLargestPaths All/dense/d=6 - AsyncPooled,0.18309480160273592,0.1785013138582883,0.18767322081109797,5.901835340944855e-3,3.591824500851043e-3,8.919255073732943e-3
findLargestPaths All/dense/d=8 - Sync,1.076574762166653,1.0597737898333057,1.0933757345000004,2.065973389917241e-2,8.383728662342273e-3,2.6359408916026804e-2
findLargestPaths All/dense/d=8 - Async,1.5466570866875173,1.4925613006250558,1.600752872749979,7.165870793549638e-2,2.8712713150533455e-2,9.62161534302129e-2
findLargestPaths All/dense/d=8 - AsyncPooled,0.890598113833363,0.8833523343750755,0.8966988187083302,8.237174135170942e-3,7.055090372948179e-3,9.415519026334026e-3
findLargestPaths All/dense/d=10 - Sync,4.564298923312516,4.548337897125037,4.58965860074998,2.4211102481989783e-2,4.536360999983113e-3,3.1622272574570426e-2
findLargestPaths All/dense/d=10 - Async,6.823932019666667,6.653646827666658,6.911510584916665,0.16063337028776845,3.2479589999923064e-3,0.19850361288338655
findLargestPaths All/dense/d=10 - AsyncPooled,4.14081982447919,3.972094212062487,4.225560052479206,0.15931457675492267,1.7432365841208997e-3,0.1956991737879965
takeLargestN/1,4.150806194541663,4.099503681750065,4.190142523874954,5.50156889485457e-2,2.954720133332467e-2,6.977381319978766e-2
takeLargestN/10,4.092233947437502,4.029172654499993,4.127974181437494,7.320742887142957e-2,5.9128938792296776e-2,7.946684222455307e-2
takeLargestN/100,4.1337802476041645,4.081092200812549,4.161337358729128,5.04185936525207e-2,5.6030122158280335e-3,6.364042210434394e-2
takeLargestN/1_000,4.29544566502084,4.188538109291679,4.474141929375037,0.1730449932818561,3.799906395831476e-2,0.22827944246143858
displayPathSize/d=6,0.2739770457600298,0.27080011116006064,0.27662007272000666,3.8523129462552665e-3,2.960172900342065e-3,4.462559678219653e-3
displayPathSize/d=8,1.2599913742082975,1.228346859874975,1.2855834235832901,3.3363583332899974e-2,2.447314391515891e-2,3.960064192898711e-2
displayPathSize/d=10,5.571626039729172,5.442279743000029,5.650446510999984,0.1491472965880861,0.12744935839212368,0.16024685272147804
