Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths/Sync,2.455712859875019,2.4343790666249916,2.4756654895000167,2.347042373640237e-2,2.0321035347740515e-2,2.4994700681360057e-2
findLargestPaths/Async,3.2667431691041813,3.081283219437516,3.3968961143333445,0.1814334049726953,9.82035746223333e-2,0.24712586304986028
findLargestPaths/AsyncPool,1.1311594563958447,1.0895987130625144,1.1820458795833513,5.196160107150169e-2,2.0889430916658625e-2,7.185938827897466e-2
takeLargest10/Sync,2.4443340772916877,2.4329054758750104,2.4658711826667266,2.10410421780016e-2,3.5122925002895045e-4,2.5071689473739497e-2
takeLargest10/Async,2.944092555770832,2.8117425626249712,3.0370611245625128,0.13086485689701716,7.123385177899673e-2,0.17345030985074528
takeLargest10/AsyncPool,1.1175465962082711,1.0818105479166604,1.1785647667498438,5.9629304856013976e-2,1.6166346556806474e-2,7.90718090185175e-2
displayPathSize/Sync,3.5273444621666195,3.509267473833309,3.5618544712498874,3.407810860814442e-2,2.4052758627161192e-4,4.150648873522631e-2
displayPathSize/Async,4.218470192333318,4.106090266083318,4.304105979749991,0.11671212133626702,7.067750233334413e-2,0.1433742930142779
displayPathSize/AsyncPool,2.2263388472708194,2.1834980493124903,2.2848589459999857,5.753988504547886e-2,2.0716478205130638e-2,7.802765465043648e-2
