Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.findLargestPaths All.flat.100 - Sync,973278437,82529076,975437,10456,45088768
All.findLargestPaths All.flat.1_000 - Sync,12926377500,561230700,10095432,1066804,45088768
All.findLargestPaths All.flat.10_000 - Sync,260645700000,23719761890,108532575,24277231,45088768
All.findLargestPaths All.sparse.d=6 - Sync,131887100000,7369185626,72423492,18018299,45088768
All.findLargestPaths All.sparse.d=8 - Sync,618017430000,17954910316,303654125,85771156,127926272
All.findLargestPaths All.sparse.d=10 - Sync,2878005220000,89712657226,1266974436,382504952,537919488
All.findLargestPaths All.dense.d=6 - Sync,246775312500,4248193746,140179288,35958600,537919488
All.findLargestPaths All.dense.d=8 - Sync,1137926820000,13838309170,585331439,165914657,537919488
All.findLargestPaths All.dense.d=10 - Sync,5081592900000,228875421118,2449963384,736338743,960495616
All.takeLargestN.1,4728375040000,76256492072,2417977552,714167068,1044381696
All.takeLargestN.10,4908822075000,222309095698,2417990950,714112471,1074790400
All.takeLargestN.100,4836418220000,29227018434,2417995125,714069926,1080033280
All.takeLargestN.1_000,4866876640000,322605934728,2417579284,714017331,1080033280
All.displayPathSize.d=6,326613460000,25369443402,270713262,44519150,1080033280
All.displayPathSize.d=8,1435392080000,31411120192,1115812215,201903404,1080033280
All.displayPathSize.d=10,6844194600000,633689142842,4579695039,881357457,1080033280
