Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.findLargestPaths All.flat.100 - Sync,984890937,61878988,1105745,14660,50331648
All.findLargestPaths All.flat.1_000 - Sync,14418855000,1298439952,11449276,1359894,50331648
All.findLargestPaths All.flat.10_000 - Sync,269245880000,2545047850,125161901,25907203,50331648
All.findLargestPaths All.sparse.d=6 - Sync,132779960000,9390501634,87435146,18362364,50331648
All.findLargestPaths All.sparse.d=8 - Sync,606558720000,13022233800,370554016,85784915,125829120
All.findLargestPaths All.sparse.d=10 - Sync,2490418260000,227181018246,1571789121,384227479,534773760
All.findLargestPaths All.dense.d=6 - Sync,244230640000,2678943600,166504669,36052154,534773760
All.findLargestPaths All.dense.d=8 - Sync,1076112430000,51991219036,708384401,167281009,534773760
All.findLargestPaths All.dense.d=10 - Sync,5030909440000,270784164922,3010559908,742169009,952107008
All.takeLargestN.1,4838410920000,55016261238,2978603764,721398802,1074790400
All.takeLargestN.10,4923832600000,325945479892,2979233152,721096559,1074790400
All.takeLargestN.100,4785171160000,144799801820,2977354036,720958718,1074790400
All.takeLargestN.1_000,4755573580000,224497378904,2978182343,720842779,1074790400
All.displayPathSize.d=6,325473600000,11786761522,293165606,45926744,1074790400
All.displayPathSize.d=8,1437467280000,38449814972,1229001089,208539871,1074790400
All.displayPathSize.d=10,6230079680000,90197436762,5105275501,910704081,1074790400
