Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.findLargestPaths All.flat.100 - Sync,2530954687,233759942,1295691,30579,57671680
"All.findLargestPaths All.flat.1,000 - Sync",33748125000,2526756814,13365541,2938232,57671680
"All.findLargestPaths All.flat.10,000 - Sync",533005300000,35397403296,139478664,46537869,79691776
All.findLargestPaths All.sparse.d=6 - Sync,262104700000,19606291240,93349356,32020070,79691776
All.findLargestPaths All.sparse.d=8 - Sync,1140679500000,86408374854,385731182,141442306,222298112
All.findLargestPaths All.sparse.d=10 - Sync,4829806100000,320107441814,1594815451,605137871,955252736
All.findLargestPaths All.dense.d=6 - Sync,527874900000,44756242210,179162198,62650425,955252736
All.findLargestPaths All.dense.d=8 - Sync,2187301200000,160977216980,745825003,275173232,955252736
All.findLargestPaths All.dense.d=10 - Sync,9267183100000,227152307134,3095579284,1173132309,1700790272
All.takeLargestN.1,9080795400000,280086744366,3063216447,1150453276,1738539008
All.takeLargestN.10,9252860000000,188455809142,3062750540,1150375991,1738539008
All.takeLargestN.100,9131549400000,609564652646,3062775050,1150343688,1738539008
"All.takeLargestN.1,000",9235399400000,785424243658,3062787928,1150274126,1738539008
All.displayPathSize.d=6,643786200000,7386179742,314046526,72577220,1738539008
All.displayPathSize.d=8,2683348100000,23171478022,1288810807,314535170,1738539008
All.displayPathSize.d=10,11412173500000,171794866642,5279165038,1333341588,1738539008
